,betweenness,weighted_betweenness,closeness,weighted_closeness,eigenvector,page_rank,degree,weighted_degree,clustering_coef
"iron aquisition outermembrane yersiniabactin receptor (FyuA,Psn,pesticin receptor) @ Outer membrane receptor for ferric siderophore_2",,,,,,,,,
Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)_1,,,,,,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_1,398.0,300.0,736.0,,,,,,
Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)_6,,,,,,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_2,,,,,,,,,
Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id_2,,,,,,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_6,,,,,,,,,
16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)_1,,,,,,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_9,,,,,,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_4,246.0,47.0,430.0,99.0,279.0,527.0,454.0,454.0,
SSU ribosomal protein S12p (S23e)_1,,,,,,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_8,,,,,,,,,
Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_5,983.0,711.0,529.0,131.0,346.0,,825.0,825.0,
